user_id,monthly_income,monthly_expenses,monthly_savings,emergency_fund_savings,debt,savings_rate,debt_to_income,emergency_fund_months,savings_score,debt_score,emergency_fund_score,financial_health_score
1,161958,129286,32672,189724.4019410948,119879,20.173131305647143,74.01857271638326,1.4674783189293104,40.346262611294286,25.98142728361674,24.457971982155172,31.270324824249286
2,150268,104950,45318,374321.17929587513,168266,30.158117496739163,111.97726728245534,3.566662022828729,60.316234993478325,0.0,59.444367047145484,41.95980411153498
3,127498,106217,21281,510789.0656186273,16023,16.691242215564166,12.567255956956188,4.80892009394567,33.38248443112833,87.43274404304381,80.14866823242784,63.627417455092825
4,81090,33270,47820,258151.2062514364,194027,58.971513133555305,239.27364656554445,7.759278817295955,100.0,0.0,100.0,70.0
5,104925,53109,51816,77252.33746721526,184779,49.38384560400286,176.10578984989277,1.454599737656805,98.76769120800571,0.0,24.24332896094675,46.78007517148632
6,125305,82999,42306,286808.03681821574,130608,33.7624196959419,104.23207374007421,3.455560149136926,67.5248393918838,0.0,57.592669152282106,44.28773650243815
7,278042,196277,81765,219035.49189760647,130523,29.40742765481474,46.943627221786635,1.1159508852163345,58.81485530962948,53.056372778213365,18.59918142027224,45.022608383397476
8,42747,24929,17818,90954.94909237191,84654,41.68245724846188,198.03494982104007,3.6485598737362874,83.36491449692376,0.0,60.80933122893812,51.588765167450944
9,206845,103388,103457,425325.3609496518,31551,50.016679155889676,15.253450651453987,4.113875507308893,100.0,84.74654934854601,68.56459178848155,85.99334234110827
10,156216,66114,90102,321337.7627088936,87313,57.67783069595944,55.89248220412762,4.860358815211508,100.0,44.10751779587238,81.00598025352514,77.53404941481926
11,181699,158278,23421,713249.0603532501,174073,12.889999394603164,95.80294883296,4.506305742764314,25.779998789206328,4.1970511670400015,75.10509571273857,34.10264357961611
12,247624,101026,146598,186610.2370184258,120174,59.20185442444998,48.53083707556618,1.847150604977192,100.0,51.46916292443382,30.785843416286536,64.6765019022161
13,194555,89693,104862,355311.22078888124,110510,53.89838349052967,56.8014186219835,3.9614152808901615,100.0,43.1985813780165,66.02358801483602,72.76665081785576
14,146530,125233,21297,259262.3474857193,19457,14.534225073363816,13.278509520234763,2.070239852800135,29.06845014672763,86.72149047976524,34.50399754666891,47.9950264666213
15,237629,156843,80786,685981.4427443041,171829,33.99669232290672,72.30977700533184,4.373682234746237,67.99338464581344,27.69022299466816,72.89470391243728,57.372831930457004
16,49692,43967,5725,272642.11875774496,196769,11.52096917008774,395.9772196731868,6.2010625868889155,23.04193834017548,0.0,100.0,39.21677533607019
17,77065,65305,11760,312366.8649300633,11534,15.259845584895867,14.966586647635113,4.783199830488681,30.519691169791734,85.03341335236489,79.71999717481135,61.633899626069564
18,265735,182087,83648,758697.1832425772,55591,31.477976179276347,20.91971324816076,4.166674080206589,62.95595235855269,79.08028675183924,69.44456800344315,69.7398373700058
