user_id,monthly_income,monthly_expenses,monthly_savings,emergency_fund_savings,debt
1,161958,129286,32672,189724.4019410948,119879
2,150268,104950,45318,374321.17929587513,168266
3,127498,106217,21281,510789.0656186273,16023
4,81090,33270,47820,258151.2062514364,194027
5,104925,53109,51816,77252.33746721526,184779
6,125305,82999,42306,286808.03681821574,130608
7,278042,196277,81765,219035.49189760652,130523
8,42747,24929,17818,90954.94909237191,84654
9,206845,103388,103457,425325.3609496518,31551
10,156216,66114,90102,321337.76270889357,87313
11,181699,158278,23421,713249.0603532501,174073
12,247624,101026,146598,186610.2370184258,120174
13,194555,89693,104862,355311.22078888124,110510
14,146530,125233,21297,259262.34748571934,19457
15,237629,156843,80786,685981.4427443041,171829
16,49692,43967,5725,272642.11875774496,196769
17,77065,65305,11760,312366.8649300633,11534
18,265735,182087,83648,758697.1832425772,55591
19,260884,155053,105831,336587.85138910305,9268
20,126807,73342,53465,164834.39047593504,139643
21,294444,138524,155920,888988.2764957807,114752
22,88984,79502,9482,491160.02918898285,198635
23,173767,69986,103781,456567.0682547202,39504
24,204231,156135,48096,963378.364638481,38660
25,174633,101153,73480,93764.02382516357,22662
26,48392,34438,13954,91163.72943900427,89135
27,167478,93032,74446,242019.63851833864,194407
28,50965,42994,7971,162419.26793930278,113252
29,179182,135573,43609,825135.291169109,98806
30,177982,93980,84002,30399.589958574223,131278
31,258126,117562,140564,413194.2226587493,50015
32,288550,184004,104546,829159.66676754,87939
33,189213,88866,100347,429697.23861522006,198286
34,289002,144943,144059,1093280.2006190836,75450
35,133426,64125,69301,476934.89565173996,64044
36,213629,153108,60521,1067420.7043396886,95259
37,283307,139751,143556,997888.1007837831,152906
38,58047,46653,11394,334442.77932264586,44262
39,165117,75132,89985,137001.7970568093,192445
40,177848,143880,33968,990735.3305513816,189125
41,61959,41329,20630,160300.30309036333,13545
42,167659,87528,80131,117841.42671449813,61087
43,266911,181246,85665,585549.5252766854,51005
44,217648,114691,102957,226515.70018417606,65318
45,281025,212492,68533,251738.3033572628,93264
46,286458,201890,84568,811886.9439973987,112181
47,171926,92723,79203,673737.1019558882,177789
48,291009,193656,97353,693727.172148533,157381
49,258527,180024,78503,116444.31375776583,109751
50,158906,82802,76104,532012.624862145,106308
51,223155,198989,24166,634893.4158207934,110078
52,120623,96398,24225,116230.95842543576,86202
53,280965,210135,70830,1442969.8195962482,133883
54,96250,49099,47151,279333.8471453939,142483
55,173983,77959,96024,586578.0254107603,71295
56,259686,225502,34184,248089.98357447816,8155
57,244728,111776,132952,826868.4310136371,85981
58,231785,122607,109178,647349.3114569007,96601
59,261807,177400,84407,751680.1008028444,133121
60,202688,90510,112178,649655.9860188449,117796
61,69855,50054,19801,135758.3772892133,117858
62,213714,163059,50655,1170255.2150208582,6295
